id,name,up_votes,down_votes,karma
3,tfoote,2938,80,48115
5184,gvdhoorn,478,15,43312
1034,ahendrix,512,104,41279
122,dornhege,1710,52,29613
25,joq,3782,8,24183
57,Stefan Kohlbrecher,269,2,22126
21,Lorenz,997,15,21356
10,William,232,21,13828
84,fergs,167,3,11916
2575,Dirk Thomas,2,6,11193
635,DimitriProsser,30,1,10258
22,Martin Günther,1082,15,9940
19,David Lu,278,12,8905
875,130s,3714,19,8807
11,kwc,273,11,8564
173,Dan Lazewatsky,489,27,8475
3384,Tom Moore,140,0,8214
14,Eric Perko,942,27,8081
2647,mgruhler,222,20,7920
888,KruseT,15,1,7658
4478,Wolf,219,8,6780
113,Felix Endres,245,20,6335
1272,jarvisschultz,732,10,6276
141,AHornung,223,91,5784
9,mjcarroll,444,106,5725
91,hsu,61,0,5595
50,jbohren,250,17,5484
120,lucasw,847,2,5431
79,Ivan Dryanovski,141,1,4734
2,mmwise,90,2,4663
3925,Jeremy Zoss,66,1,4526
1108,Martin Peris,252,1,4430
25185,PeteBlackerThe3rd,67,0,4197
3632,paulbovbel,312,3,4093
127,Mac,84,6,4039
29,Chad Rockey,73,3,4021
87,Thomas,233,10,3896
1370,demmeln,325,7,3876
180,Patrick Mihelich,41,0,3866
30,Pi Robot,139,1,3686
1112,Procópio,378,15,3634
653,damonkohler,25,5,3470
304,Thomas D,723,10,3427
26450,jayess,989,35,3367
23527,Akif,26,1,3271
410,Adolfo Rodriguez T,275,1,3242
195,Ryan,40,0,3188
1483,tbh,105,1,3130
51,Daniel Stonier,49,0,3010
186,Kevin,226,6,2922
20914,matlabbe,3,0,2860
1770,piyushk,39,1,2806
18581,NEngelhard,356,69,2789
3675,BennyRe,255,0,2782
9486,bvbdort,48,0,2664
214,moritz,20,0,2658
2873,Boris,131,0,2645
1086,allenh1,73,4,2602
961,karthik,148,2,2601
351,Asomerville,423,53,2538
13601,Mehdi.,89,7,2536
3014,davinci,84,5,2498
38,Wim,252,7,2485
356,Pablo Iñigo Blasco,126,2,2426
3462,tonybaltovski,90,15,2418
458,Airuno2L,230,3,2395
1072,Ben_S,143,3,2380
107,eitan,12,0,2368
134,KoenBuys,32,5,2244
189,sam,100,0,2204
12,Patrick Bouffard,215,11,2154
1505,weiin,178,10,2138
8,Brian Gerkey,2,0,2106
18,arebgun,28,9,2081
82,egiljones,1,0,2031
1314,michikarg,153,1,2008
62,bit-pirate,175,9,2007
1001,SL Remy,86,5,1972
4809,v4hn,17,2,1940
4680,fivef,39,2,1936
1986,jorge,14,0,1898
266,Stephan,73,4,1859
22196,gerkey,0,0,1856
1621,Hansg91,31,0,1809
798,roehling,16,3,1766
2967,sai,217,3,1745
2444,lindzey,209,15,1625
2526,cagatay,102,0,1610
2193,MarkyMark2012,55,0,1592
72,Ugo,20,0,1590
2268,ayush_dewan,16,1,1575
20134,Geoff,1,0,1571
3078,WilliamWoodall,34,0,1556
606,felix k,225,61,1555
12166,croesmann,12,0,1551
75,JeffRousseau,40,0,1537
1858,Mani,121,1,1509
78,sedwards,43,1,1491
3904,kalectro,42,4,1472
26757,rbbg,17,0,1413
1564,dgossow,1,1,1404
15386,Chrissi,16,0,1402
1640,Sebastian Kasperski,30,0,1398
2515,Miquel Massot,63,2,1396
12831,l0g1x,150,1,1386
139,raphael favier,86,3,1322
2416,prasanna.kumar,129,3,1313
19307,marguedas,6,0,1311
1352,Po-Jen Lai,77,2,1306
2050,kramer,19,3,1305
155,Lorenzo Riano,67,1,1302
2486,ipso,6,0,1281
2948,Jakub,4,0,1281
6486,hamid,17,0,1277
905,MichaelKorn,45,1,1268
92,dejanpan,14,0,1265
20159,spmaniato,372,2,1263
31,makokal,43,0,1255
95,bhaskara,12,0,1254
97,hersh,14,0,1246
21851,Humpelstilzchen,43,2,1242
3102,kmhallen,105,2,1241
26592,M@t,163,0,1239
39,Sachin Chitta,0,0,1224
1634,Johannes Meyer,11,2,1216
1900,cyborg-x1,20,1,1206
96,Bill Smart,55,6,1193
2573,georgebrindeiro,243,11,1184
3621,PeterMilani,26,1,1173
1279,Dave Coleman,41,0,1166
11186,Naman,99,2,1139
3548,Stephane.M,94,3,1134
358,Vincent Rabaud,50,1,1116
982,rtoris288,46,4,1113
4160,nickw,6,1,1109
1110,TommyP,17,0,1099
27558,Mark Rose,4,0,1093
102,Kei Okada,111,1,1091
33811,Delb,13,0,1079
58,tom,68,1,1069
1973,McMurdo,69,0,1059
270,mikepurvis,32,0,1041
198,Arkapravo,244,8,1038
3576,mirzashah,33,4,1034
1805,isucan,3,0,1030
7,Tully,42,1,1015
2571,dbworth,20,4,1013
2254,Dereck,50,1,990
12786,Maya,66,0,982
21281,AndyZe,105,1,972
